winner_name,winner_rank,loser_name,loser_rank,player-name,prev-rank
Steve Johnson,33,John Isner,19,Andreas Seppi,78
Jiri Vesely,54,Jose Rubin Statham,434,Taro Daniel,117
Marcos Baghdatis,36,Dustin Brown,70,Andrej Martin,136
Robin Haase,58,David Ferrer,21,Henri Laaksonen,122
Joao Sousa,44,Brydan Klein,324,Lorenzo Giustino,127
Jeremy Chardy,71,Feliciano Lopez,28,Evgeny  Donskoy,125
Jack Sock,23,Ryan Harrison,89,Yannick Maden,120
Steve Johnson,33,Yen Hsun Lu,61,Gianluca Mager,144
John Isner,19,Malek Jaziri,56,Paolo Lorenzi,118
Jiri Vesely,54,Horacio Zeballos,69,Blaz Rola,141
Dustin Brown,70,Michael Mmoh,195,Jason Jung,129
Marcos Baghdatis,36,Adrian Mannarino,60,Elias Ymer,119
Robin Haase,58,Finn Tearney,447,adrian menendez-maceiras,194
Brydan Klein,324,Facundo Bagnis,55,Robin Haase,123
Joao Sousa,44,Albert Ramos,26,Marcos Baghdatis,159
Feliciano Lopez,28,Michael Venus,1035,Roberto Marcora,182
Jeremy Chardy,71,Artem Sitak,,Maxime Janvier,195
Ryan Harrison,89,Guillermo Garcia Lopez,74,Dustin Brown,151
Steve Johnson,33,Stephane Robert,53,Nicolas Mahut,162
Yen Hsun Lu,61,Karen Khachanov,51,Steve Darcis,189
Malek Jaziri,56,Diego Sebastian Schwartzman,52,Federico Gaio,145
Gilles Muller,34,Daniel Evans,67,David Ferrer,152
Daniel Evans,67,Dominic Thiem,8,Michael Mmoh,181
Andrey Kuznetsov,48,Pablo Carreno Busta,30,Noah Rubin,196
Viktor Troicki,29,Philipp Kohlschreiber,32,Karen Khachanov,9
Gilles Muller,34,Pablo Cuevas,22,Kei Nishikori,5
Dominic Thiem,8,Gastao Elias,81,Rafael Nadal,2
Daniel Evans,67,Marcel Granollers,37,Cameron Norrie,60
Pablo Carreno Busta,30,Mischa Zverev,50,Federico Delbonis,66
Andrey Kuznetsov,48,Alex De Minaur,333,Jan-Lennard Struff,36
Philipp Kohlschreiber,32,Jordan Thompson,75,Reilly Opelka,42
Viktor Troicki,29,Paolo Lorenzi,41,Richard Berankis,76
Gilles Muller,34,Matthew Barton,198,Alex De Minaur,38
Pablo Cuevas,22,Nicolas Mahut,38,Jo-Wilfried Tsonga,64
Gastao Elias,81,Christopher Oconnell,238,Pablo  Carreno Busta,53
Daniel Evans,67,Thiago Monteiro,83,Pablo Andujar,68
Marcel Granollers,37,Santiago Giraldo,90,Radu Albot,39
Mischa Zverev,50,Nicolas Almagro,43,Lukas Rosol,155
Alex De Minaur,333,Benoit Paire,46,James Duckworth,131
Andrey Kuznetsov,48,Martin Klizan,35,Sergiy Stakhovsky,147
Philipp Kohlschreiber,32,Fabio Fognini,47,Federico Coria,157
Jordan Thompson,75,Nikoloz Basilashvili,94,Nikola Milojevic,150
Paolo Lorenzi,41,Florian Mayer,49,Kimmer Coppejans,138
Gilles Muller,34,Alexandr Dolgopolov,63,Yasutaka Uchiyama,143
Matthew Barton,198,Kyle Edmund,45,Viktor Troicki,153
Nicolas Mahut,38,Thomaz Bellucci,62,Ilya Ivashka,137
Daniel Evans,67,Andrey Kuznetsov,48,Attila Balazs,139
Gilles Muller,34,Viktor Troicki,29,Mackenzie McDonald,97
Andy Murray,1,Illya Marchenko,95,Philipp Kohlschreiber,73
Andrey Rublev,152,Yen Hsun Lu,60,Bernard Tomic,88
Alex De Minaur,301,Gerald Melzer,87,Marcel Granollers,93
Sam Querrey,32,Quentin Halys,155,Brayden Schnur,95
John Isner,19,Konstantin Kravchuk,88,Corentin Moutet,83
Mischa Zverev,50,Guillermo Garcia Lopez,74,Ivo Karlovic,80
Malek Jaziri,56,Go Soeda,139,Marius Copil,85
Alexander Bublik,207,Lucas Pouille,16,Hugo Dellien,87
Tomas Berdych,10,Luca Vanni,157,Steve Johnson,79
Ryan Harrison,82,Nicolas Mahut,41,Tomas Berdych,103
Noah Rubin,200,Bjorn Fratangelo,113,Lloyd Harris,100
Roger Federer,17,Jurgen Melzer,300,Salvatore Caruso,105
Lukas Lacko,121,Albert Ramos,26,Matthew Ebden,110
Dudi Sela,67,Marcel Granollers,38,Norbert Gombos,116
Jeremy Chardy,72,Nicolas Almagro,42,Pedro Sousa,148
Kei Nishikori,5,Andrey Kuznetsov,45,Damir Dzumhur,104
Stanislas Wawrinka,4,Martin Klizan,34,Ernests Gulbis,124
Steve Johnson,30,Federico Delbonis,44,Mikael Ymer,109
Paolo Lorenzi,43,James Duckworth,107,Bradley Klahn,94
Viktor Troicki,35,Damir Dzumhur,78,Juan Martin del Potro,12
Diego Sebastian Schwartzman,54,Pablo Cuevas,22,Roberto Bautista Agut,11
Steve Darcis,71,Samuel Groth,162,Kyle Edmund,30
Andreas Seppi,89,Paul Henri Mathieu,75,Nick Kyrgios,27
Nick Kyrgios,13,Gastao Elias,77,Fernando Verdasco,33
Jo Wilfried Tsonga,12,Thiago Monteiro,83,Lucas Pouille,31
Dusan Lajovic,94,Stephane Robert,55,Marin Cilic,18
Karen Khachanov,52,Adrian Mannarino,61,Gael Monfils,15
Jack Sock,20,Pierre Hugues Herbert,73,Milos Raonic,20
Bernard Tomic,27,Thomaz Bellucci,62,Benoit Paire,29
Victor Estrella,103,Aljaz Bedene,109,Ramkumar Ramanathan,180
Daniel Evans,51,Facundo Bagnis,65,Facundo Bagnis,160
Marin Cilic,7,Jerzy Janowicz,273,Marc Polmans,166
Gael Monfils,6,Jiri Vesely,53,Sebastian Ofner,168
Alexandr Dolgopolov,69,Borna Coric,59,Alexey Vatutin,188
Donald Young,85,Thomas Fabbiano,141,Mats Moraign,171
Philipp Kohlschreiber,33,Nikoloz Basilashvili,92,Enzo Couacaud,169
Alexander Zverev,24,Robin Haase,57,Darian King,185
Francis Tiafoe,108,Mikhail Kukushkin,98,Oscar Otte,163
Marcos Baghdatis,36,Mikhail Youzhny,70,Jack Sock,176
Rafael Nadal,9,Florian Mayer,49,Joao Domingues,174
Roberto Bautista Agut,14,Guido Pella,81,Peter Polansky,193
Yoshihito Nishioka,99,Alex Bolt,632,Donald Young,199
Ernesto Escobedo,131,Daniil Medvedev,63,,
David Ferrer,23,Omar Jasika,290,,
Gilles Simon,25,Michael Mmoh,190,,
Rogerio Dutra Silva,100,Jared Donaldson,101,,
Gilles Muller,28,Taylor Harry Fritz,93,,
Milos Raonic,3,Dustin Brown,66,,
Dominic Thiem,8,Jan Lennard Struff,58,,
Jordan Thompson,76,Joao Sousa,37,,
Benoit Paire,47,Tommy Haas,,,
Fabio Fognini,48,Feliciano Lopez,29,,
Ivo Karlovic,21,Horacio Zeballos,68,,
Andrew Whittington,194,Adam Pavlasek,86,,
Radek Stepanek,102,Dmitry Tursunov,405,,
David Goffin,11,Reilly Opelka,208,,
Grigor Dimitrov,15,Christopher Oconnell,231,,
Hyeon Chung,105,Renzo Olivo,79,,
Carlos Berlocq,90,Radu Albot,96,,
Richard Gasquet,18,Blake Mott,287,,
Pablo Carreno Busta,31,Peter Polansky,132,,
Kyle Edmund,46,Santiago Giraldo,91,,
Denis Istomin,117,Ivan Dodig,170,,
Novak Djokovic,2,Fernando Verdasco,40,,
Andy Murray,1,Andrey Rublev,152,,
Sam Querrey,32,Alex De Minaur,301,,
Mischa Zverev,50,John Isner,19,,
Malek Jaziri,56,Alexander Bublik,207,,
Tomas Berdych,10,Ryan Harrison,82,,
Roger Federer,17,Noah Rubin,200,,
Lukas Lacko,121,Dudi Sela,67,,
Kei Nishikori,5,Jeremy Chardy,72,,
Stanislas Wawrinka,4,Steve Johnson,30,,
Viktor Troicki,35,Paolo Lorenzi,43,,
Steve Darcis,71,Diego Sebastian Schwartzman,54,,
Andreas Seppi,89,Nick Kyrgios,13,,
Jo Wilfried Tsonga,12,Dusan Lajovic,94,,
Jack Sock,20,Karen Khachanov,52,,
Bernard Tomic,27,Victor Estrella,103,,
Daniel Evans,51,Marin Cilic,7,,
Gael Monfils,6,Alexandr Dolgopolov,69,,
Philipp Kohlschreiber,33,Donald Young,85,,
Alexander Zverev,24,Francis Tiafoe,108,,
Rafael Nadal,9,Marcos Baghdatis,36,,
Roberto Bautista Agut,14,Yoshihito Nishioka,99,,
David Ferrer,23,Ernesto Escobedo,131,,
Gilles Simon,25,Rogerio Dutra Silva,100,,
Milos Raonic,3,Gilles Muller,28,,
Dominic Thiem,8,Jordan Thompson,76,,
Benoit Paire,47,Fabio Fognini,48,,
Ivo Karlovic,21,Andrew Whittington,194,,
David Goffin,11,Radek Stepanek,102,,
Grigor Dimitrov,15,Hyeon Chung,105,,
Richard Gasquet,18,Carlos Berlocq,90,,
Pablo Carreno Busta,31,Kyle Edmund,46,,
Denis Istomin,117,Novak Djokovic,2,,
Andy Murray,1,Sam Querrey,32,,
Mischa Zverev,50,Malek Jaziri,56,,
Roger Federer,17,Tomas Berdych,10,,
Kei Nishikori,5,Lukas Lacko,121,,
Stanislas Wawrinka,4,Viktor Troicki,35,,
Andreas Seppi,89,Steve Darcis,71,,
Jo Wilfried Tsonga,12,Jack Sock,20,,
Daniel Evans,51,Bernard Tomic,27,,
Gael Monfils,6,Philipp Kohlschreiber,33,,
Rafael Nadal,9,Alexander Zverev,24,,
Roberto Bautista Agut,14,David Ferrer,23,,
Milos Raonic,3,Gilles Simon,25,,
Dominic Thiem,8,Benoit Paire,47,,
David Goffin,11,Ivo Karlovic,21,,
Grigor Dimitrov,15,Richard Gasquet,18,,
Denis Istomin,117,Pablo Carreno Busta,31,,
Mischa Zverev,50,Andy Murray,1,,
Roger Federer,17,Kei Nishikori,5,,
Stanislas Wawrinka,4,Andreas Seppi,89,,
Jo Wilfried Tsonga,12,Daniel Evans,51,,
Rafael Nadal,9,Gael Monfils,6,,
Milos Raonic,3,Roberto Bautista Agut,14,,
David Goffin,11,Dominic Thiem,8,,
Grigor Dimitrov,15,Denis Istomin,117,,
Roger Federer,17,Mischa Zverev,50,,
Stanislas Wawrinka,4,Jo Wilfried Tsonga,12,,
Rafael Nadal,9,Milos Raonic,3,,
Grigor Dimitrov,15,David Goffin,11,,
Roger Federer,17,Stanislas Wawrinka,4,,
Rafael Nadal,9,Grigor Dimitrov,15,,
Roger Federer,17,Rafael Nadal,9,,
Nicolas Jarry,312,Jose Hernandez,263,,
Christian Garin,189,Roberto Cid,507,,
Marcelo Tomas Barrios Vera,454,Jose Olivares,722,,
Nicolas Jarry,312,Nick Hardt,1772,,
Emilio Gomez,293,Juan Pablo Varillas Patino Samudio,633,,
Roberto Quiroz,289,Mauricio Echazu,844,,
Roberto Quiroz,289,Juan Pablo Varillas Patino Samudio,633,,
Gonzalo Escobar,508,Alexander Merino,1340,,
Yuki Bhambri,368,Finn Tearney,414,,
Ramkumar Ramanathan,276,Jose Rubin Statham,417,,
Ramkumar Ramanathan,276,Finn Tearney,414,,
Yuki Bhambri,368,Jose Rubin Statham,417,,
Hyeon Chung,73,Sanjar Fayziev,367,,
Denis Istomin,80,Duck Hee Lee,139,,
Denis Istomin,80,Soon Woo Kwon,308,,
Joao Sousa,41,Yshai Oliel,928,,
Gastao Elias,76,Dudi Sela,75,,
Frederico Ferreira Silva,363,Daniel Cukierman,528,,
Pedro Sousa,192,Yshai Oliel,928,,
Mirza Basic,212,Kamil Majchrzak,259,,
Damir Dzumhur,82,Hubert Hurkacz,379,,
Damir Dzumhur,82,Kamil Majchrzak,259,,
Tomislav Brkic,418,Hubert Hurkacz,379,,
Adrian Ungur,313,Ilya Ivashka,175,,
Egor Gerasimov,341,Marius Copil,129,,
Marius Copil,129,Ilya Ivashka,175,,
Egor Gerasimov,341,Adrian Ungur,313,,
